provenance,protocol_id,device_id,run_id,instrument_id,calibration_record_id,measurement_plane,phase_reference_id,phase_convention,channel_id,emitter_x_m,emitter_y_m,emitter_z_m,frequency_hz,sound_speed_m_s,target_x_m,target_y_m,target_z_m,measured_drive_phase_rad
synthetic,phase-protocol-v1,SYNTHETIC-NOT-A-DEVICE,template-run-001,SYNTHETIC-INSTRUMENT,SYNTHETIC-CALIBRATION-NOT-A-RECORD,electrical_drive_output,synthetic-reference-001,cos_omega_t_plus_phi,0,-0.030000,-0.030000,0.000000,40000.0,343.0,0.007,-0.004,0.120,5.271724608962
synthetic,phase-protocol-v1,SYNTHETIC-NOT-A-DEVICE,template-run-001,SYNTHETIC-INSTRUMENT,SYNTHETIC-CALIBRATION-NOT-A-RECORD,electrical_drive_output,synthetic-reference-001,cos_omega_t_plus_phi,1,-0.026000,-0.030000,0.000000,40000.0,343.0,0.007,-0.004,0.120,4.468351341825
synthetic,phase-protocol-v1,SYNTHETIC-NOT-A-DEVICE,template-run-001,SYNTHETIC-INSTRUMENT,SYNTHETIC-CALIBRATION-NOT-A-RECORD,electrical_drive_output,synthetic-reference-001,cos_omega_t_plus_phi,2,-0.022000,-0.030000,0.000000,40000.0,343.0,0.007,-0.004,0.120,3.750961951600
synthetic,phase-protocol-v1,SYNTHETIC-NOT-A-DEVICE,template-run-001,SYNTHETIC-INSTRUMENT,SYNTHETIC-CALIBRATION-NOT-A-RECORD,electrical_drive_output,synthetic-reference-001,cos_omega_t_plus_phi,3,-0.018000,-0.030000,0.000000,40000.0,343.0,0.007,-0.004,0.120,3.121571965180
synthetic,phase-protocol-v1,SYNTHETIC-NOT-A-DEVICE,template-run-001,SYNTHETIC-INSTRUMENT,SYNTHETIC-CALIBRATION-NOT-A-RECORD,electrical_drive_output,synthetic-reference-001,cos_omega_t_plus_phi,4,-0.014000,-0.030000,0.000000,40000.0,343.0,0.007,-0.004,0.120,2.582001819025
synthetic,phase-protocol-v1,SYNTHETIC-NOT-A-DEVICE,template-run-001,SYNTHETIC-INSTRUMENT,SYNTHETIC-CALIBRATION-NOT-A-RECORD,electrical_drive_output,synthetic-reference-001,cos_omega_t_plus_phi,5,-0.010000,-0.030000,0.000000,40000.0,343.0,0.007,-0.004,0.120,2.133852299037
synthetic,phase-protocol-v1,SYNTHETIC-NOT-A-DEVICE,template-run-001,SYNTHETIC-INSTRUMENT,SYNTHETIC-CALIBRATION-NOT-A-RECORD,electrical_drive_output,synthetic-reference-001,cos_omega_t_plus_phi,6,-0.006000,-0.030000,0.000000,40000.0,343.0,0.007,-0.004,0.120,1.778481975744
synthetic,phase-protocol-v1,SYNTHETIC-NOT-A-DEVICE,template-run-001,SYNTHETIC-INSTRUMENT,SYNTHETIC-CALIBRATION-NOT-A-RECORD,electrical_drive_output,synthetic-reference-001,cos_omega_t_plus_phi,7,-0.002000,-0.030000,0.000000,40000.0,343.0,0.007,-0.004,0.120,1.516987335658
synthetic,phase-protocol-v1,SYNTHETIC-NOT-A-DEVICE,template-run-001,SYNTHETIC-INSTRUMENT,SYNTHETIC-CALIBRATION-NOT-A-RECORD,electrical_drive_output,synthetic-reference-001,cos_omega_t_plus_phi,8,0.002000,-0.030000,0.000000,40000.0,343.0,0.007,-0.004,0.120,1.350186260566
synthetic,phase-protocol-v1,SYNTHETIC-NOT-A-DEVICE,template-run-001,SYNTHETIC-INSTRUMENT,SYNTHETIC-CALIBRATION-NOT-A-RECORD,electrical_drive_output,synthetic-reference-001,cos_omega_t_plus_phi,9,0.006000,-0.030000,0.000000,40000.0,343.0,0.007,-0.004,0.120,1.278605420527
